Date,ticker,side,qty,price,notional,fees,slippage
2017-07-17,KO,1,1443.432027469611,34.81087112426758,50247.12628488489,0.0,0.0
2017-07-17,PEP,-1,-558.8261376736951,89.59799194335938,-50069.69978102637,0.0,0.0
2017-07-18,KO,-1,-1437.9398597714624,34.76417541503906,-49988.79352137179,0.0,0.0
2017-07-18,PEP,1,558.0482208977205,89.66036224365234,50034.80563511534,0.0,0.0
2017-07-19,KO,1,1437.9398597714624,34.88869857788086,50167.85034068682,0.0,0.0
2017-07-19,PEP,-1,-558.0482208977205,89.9176254272461,-50178.370897022316,0.0,0.0
2017-07-20,KO,-1,-1438.262216867364,34.880924224853516,-50167.91540202036,0.0,0.0
2017-07-20,PEP,1,557.6600266695871,90.05013275146484,50217.35943178174,0.0,0.0
2017-07-21,PEP,-1,-557.6600266695871,90.92327880859376,-50704.2780852867,0.0,0.0
2017-07-21,KO,1,1438.262216867364,35.044342041015625,50402.9530725693,0.0,0.0
2017-07-24,PEP,1,555.2462664102696,90.5334930419922,50268.3839966463,0.0,0.0
2017-07-24,KO,-1,-1433.4482560635183,34.896488189697266,-50022.31013826271,0.0,0.0
2017-07-25,PEP,-1,-555.2462664102696,90.782958984375,-50406.899029750864,0.0,0.0
2017-07-25,KO,1,1433.4482560635183,35.207786560058594,50468.54024437257,0.0,0.0
2017-07-26,PEP,1,552.2817945045871,91.3598403930664,50456.37659793538,0.0,0.0
2017-07-26,KO,-1,-1432.8089327556418,35.59689712524414,-51003.55217943343,0.0,0.0
2017-07-27,KO,1,1432.8089327556418,35.892635345458984,51427.28854311451,0.0,0.0
2017-07-27,PEP,-1,-552.2817945045871,91.47682189941406,-50520.98335418491,0.0,0.0
2017-07-28,PEP,1,547.2864202135215,90.90769958496094,49752.54947569951,0.0,0.0
2017-07-28,KO,-1,-1404.6168075852222,35.807029724121094,-50295.15578020413,0.0,0.0
2017-07-31,PEP,-1,-547.2864202135215,90.90769958496094,-49752.54947569951,0.0,0.0
2017-07-31,KO,1,1404.6168075852222,35.674720764160156,50109.31239124888,0.0,0.0
2017-08-01,KO,-1,-1396.3738513143953,35.56577682495117,-49663.120760045334,0.0,0.0
2017-08-01,PEP,1,550.0084176398146,90.36976623535156,49704.13212958566,0.0,0.0
2017-08-02,PEP,-1,-550.0084176398146,90.12810516357422,-49571.21650589226,0.0,0.0
2017-08-02,KO,1,1396.3738513143953,35.48017501831055,49543.58863562709,0.0,0.0
2017-08-03,KO,-1,-1405.8458569903216,35.54242706298828,-49967.17383388276,0.0,0.0
2017-08-03,PEP,1,553.2823872730193,90.66600799560548,50163.90534832326,0.0,0.0
2017-08-04,KO,1,1405.8458569903216,35.41012191772461,49781.173193555325,0.0,0.0
2017-08-04,PEP,-1,-553.2823872730193,90.72058868408205,-50194.103881942574,0.0,0.0
2017-08-07,PEP,1,551.4745945627546,91.1805648803711,50283.76504940559,0.0,0.0
2017-08-07,KO,-1,-1406.7694339328602,35.519073486328125,-49967.146902181485,0.0,0.0
2017-08-08,KO,1,1406.7694339328602,35.48794937133789,49923.36244855501,0.0,0.0
2017-08-08,PEP,-1,-551.4745945627546,90.9856414794922,-50176.26974593511,0.0,0.0
2017-08-09,PEP,1,548.3624724808407,90.92327880859376,49858.9139735453,0.0,0.0
2017-08-09,KO,-1,-1407.6943763537588,35.48017501831055,-49945.24284532288,0.0,0.0
